;Установка;;;1 ревизия;;;;;;;;;;;;2 ревизия;;;;;;;;;;;;3 ревизия;;;;;;;;;;;;4 ревизия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ гильзы;Дата ввода ;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;;;
30013869;26.12.2019;7;5;30.12.2019;04.01.2020;смена сечения;3961;"0;5";"0;5";"0;5";"0;5";"0;5";ромб до 15;7;2;13.01.2020;18.01.2020;ревизия;8814;"0;5";"0;5";"0;5";"0;5";"0;5";ромб более 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014134;16.03.2020;7;1;27.04.2020;29.04.2020;смена сечения;1420;"0;4";"0;4";"0;4";"0;4";"0;4";;7;1;02.05.2020;04.05.2020;смена сечения;3252;"0;4";"0;4";"0;4";"0;4";"0;4";;7;1;09.05.2020;11.05.2020;смена сечения;4790;"0;4";"0;4";"0;4";"0;4";"0;4";;7;7;12.05.2020;17.05.2020;смена сечения;8677;"0;4";"0;4";"0;4";"0;4";"0;4";;7;2;22.05.2020;25.05.2020;смена сечения;10370;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 14 мм;;;;;;;;;;;;;;;;;;;;;;;;;;;
30013874;29.05.2020;7;2;31.05.2020;02.06.2020;смена сечения;1641;"0;4";"0;4";"0;4";"0;4";"0;4";;7;2;05.06.2020;11.06.2020;ревизия;6249;"0;4";"0;4";"0;4";"0;4";"0;4";;7;1;13.06.2020;14.06.2020;ревизия;7697;"0;4";"0;4";"0;4";"0;4";"0;4";;7;1;21.06.2020;24.06.2020;смена сечения;9870;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 10;7;1;26.06.2020;29.06.2020;ревизия;12615;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014817;30.06.2020;7;1;02.07.2020;06.07.2020;ревизия;3380;"0;4";"0;4";"0;4";"0;4";"0;4";;7;1;09.07.2020;14.07.2020;ревизия;7883;"0;4";"0;4";"0;4";"0;4";"0;4";;7;1;17.07.2020;20.07.2020;ревизия;10364;"0;4";"0;4";"0;4";"0;4";"0;4";;7;1;24.07.2020;28.07.2020;ревизия;10316;"0;4";"0;4";"0;4";"0;4";"0;4";;7;2;29.07.2020;31.07.2020;ромб 18;11734;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014812;01.08.2020;7;1;04.08.2020;07.08.2020;ревизия;2770;"0;4";"0;4";"0;4";"0;4";"0;4";;7;2;09.08.2020;12.08.2020;ревизия;5697;"0;4";"0;4";"0;4";"0;4";"0;4";;7;3;13.08.2020;17.08.2020;ревизия;8557;"0;4";"0;4";"0;4";"0;4";"0;4";;7;4;19.08.2020;23.08.2020;ревизия;11559;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 18;7;2;24.08.2020;26.08.2020;ревизия;13091;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;
30015009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30013357;26.12.2019;8;6;30.10.2019;02.01.2020;ревизия;2261;"0;5";"0;5";"0;5";"0;5";"0;5";ромб до 16;8;3;12.01.2020;18.01.2020;ревизия;8291;"0;5";"0;5";"0;5";"0;5";"0;5";ромб более 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014142;30.04.2020;8;6;02.05.2020;04.05.2020;смена сечения;1829;"0;4";"0;4";"0;4";"0;4";"0;4";;8;6;09.05.2020;11.05.2020;смена сечения;3379;"0;4";"0;4";"0;4";"0;4";"0;4";;8;6;12.05.2020;17.05.2020;смена сечения;7300;"0;4";"0;4";"0;4";"0;4";"0;4";;8;1;19.05.2020;21.05.2020;смена сечения;9174;"0;4";"0;4";"0;4";"0;4";"0;4";;8;4;12.06.2020;14.06.2020;;11479;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;
83895;14.06.2020;8;2;16.06.2020;22.06.2020;ревизия;5082;"0;4";"0;4";"0;4";"0;4";"0;4";;8;2;26.06.2020;02.07.2020;ревизия;10111;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014811;03.07.2020;8;5;05.07.2020;08.07.2020;ревизия;3053;"0;4";"0;4";"0;4";"0;4";"0;4";;8;5;12.07.2020;15.07.2020;ревизия;5759;"0;4";"0;4";"0;4";"0;4";"0;4";;8;5;19.07.2020;23.07.2020;ревизия;8327;"0;4";"0;4";"0;4";"0;4";"0;4";;8;6;24.07.2020;27.07.2020;ревизия;9993;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83898;27.07.2020;8;1;28.07.2020;30.07.2020;Задир НЛЗ;1602;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014811;31.08.2020;8;2;04.08.2020;06.08.2020;ромб 18;11111;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014806;06.08.2020;8;4;06.08.2020;10.08.2020;ревизия;3217;"0;4";"0;4";"0;4";"0;4";"0;4";;8;1;11.08.2020;14.08.2020;ревизия;5816;"0;4";"0;4";"0;4";"0;4";"0;4";;8;2;15.08.2020;17.08.2020;ромб 28;6584;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014801;17.08.2020;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
